id,created_at,condominio_id,user_id_morador,user_id_sindico,perfil_morador_id,perfil_sindico_id,bloco_txt,apto_txt,condominio_txt,assunto,fale_conosco_id,respondida,texto_do_sindico,texto_do_morador,registrado_pelo_morador,registrado_pelo_sindico,arquivo_morador,arquivo_sindico,nome_morador_txt,nome_sindico_txt
29,2025-07-31 18:11:55.268501-03,8,f40fc244-6f52-45f7-8efd-8c0da988ccab,,108,,1,4,RealPark,Reclamação,10,false,,terterter,Cristiano,,,,Cristiano,
30,2025-07-31 18:13:55.359626-03,8,f40fc244-6f52-45f7-8efd-8c0da988ccab,f40fc244-6f52-45f7-8efd-8c0da988ccab,108,108,1,4,RealPark,Reclamação,10,true,htrhtrhrt,,Cristiano,Cristiano,,,,Cristiano
31,2025-07-31 18:18:07.500321-03,8,f40fc244-6f52-45f7-8efd-8c0da988ccab,f40fc244-6f52-45f7-8efd-8c0da988ccab,108,108,1,4,RealPark,Pendência,9,true,htrhtrhtyr,,Cristiano,Cristiano,,,Cristiano,Cristiano
32,2025-07-31 18:18:46.230176-03,8,f40fc244-6f52-45f7-8efd-8c0da988ccab,,108,,1,4,RealPark,Reclamação,10,false,,kuykytkyt,Cristiano,,,,,
33,2025-08-06 10:47:57.377573-03,8,f40fc244-6f52-45f7-8efd-8c0da988ccab,,108,,1,4,RealPark,Reclamação,10,false,,teste,Cristiano,,,,,
34,2025-08-10 13:34:22.330092-03,8,0c79207b-3590-40bc-9188-2a828f9c3630,,3661,,1,5,RealPark,Elogio,11,false,,Gdghhvg,"Luciano ",,,,"Luciano ",
35,2025-08-30 13:29:44.275982-03,42,d25efc2a-68a2-49f1-ab47-e33c5e0d2bd6,,12387,,125,303,Condomínio Residencial Recanto das Palmeiras,Outros...,12,false,,PRECISO DE UM ELETRICISTA PARA FAZER MANUTENÇÃO DO CHUVEIRO ELÉTRICO!,Nalbert,,,,Nalbert,
36,2025-09-02 09:50:15.798769-03,42,c72930b5-847a-4d83-95c3-f4bb81a9c9c6,,8302,,87,301,Condomínio Residencial Recanto das Palmeiras,Reclamação,13,false,,"Bom dia.
Venho, por meio desta, solicitar formalmente a limpeza dos fundos do bloco 87. Ressalto que já havia encaminhado vídeo no dia 28/08 e, novamente, no dia 02/09, ambos informados pelo WhatsApp da secretaria do condomínio, no número +55 22 99227-5387.

Sugestão: a mesma pessoa responsável pela limpeza da frente também deverá se encarregar da limpeza dos fundos.

Acabou de acontecer enquanto eu escrevia. Vide o último vídeo, no qual o funcionário observa a placa de vidro e nada faz.

Agradeço desde já pela atenção e aguardo providências.",Moacyr,,,,Moacyr,
37,2025-09-02 17:19:43.219538-03,42,d25efc2a-68a2-49f1-ab47-e33c5e0d2bd6,f8aa9075-312e-4129-95a4-949f8da04be6,12387,94,16,101,Condomínio Residencial Recanto das Palmeiras,Outros...,12,true,"Boa tarde! Érico 998459860 (ele é eletricista e é o zelador do condomínio). Att, Francielle Baptista.",,Nalbert,"Administração ",,,,"Administração "
38,2025-09-03 12:39:43.504272-03,42,c72930b5-847a-4d83-95c3-f4bb81a9c9c6,,8302,,87,301,Condomínio Residencial Recanto das Palmeiras,Reclamação,14,false,,"Boa tarde, a falta da limpeza atrás do bloco 87 permanece, vide o vídeo enviado para o WhatsApp do condomínio.

Copio a mensagem anterior: 

Bom dia.
Venho, por meio desta, solicitar formalmente a limpeza dos fundos do bloco 87. Ressalto que já havia encaminhado vídeo no dia 28/08 e, novamente, no dia 02/09, ambos informados pelo WhatsApp da secretaria do condomínio, no número +55 22 99227-5387.

Sugestão: a mesma pessoa responsável pela limpeza da frente também deverá se encarregar da limpeza dos fundos.

Acabou de acontecer enquanto eu escrevia. Vide o último vídeo, no qual o funcionário observa a placa de vidro e nada faz.

Agradeço desde já pela atenção e aguardo providências.
Criado no dia: 02/09/2025, 9:50 am",Moacyr,,,,Moacyr,
39,2025-09-03 12:42:12.724968-03,42,c72930b5-847a-4d83-95c3-f4bb81a9c9c6,,8302,,87,301,Condomínio Residencial Recanto das Palmeiras,Reclamação,15,false,,"Boa tarde, venho acusar a falta da limpeza atrás do bloco 87, conforme já enviado hoje (03/09) no WhatsApp do condomínio.

Remeto a mensagem anterior:


Bom dia.
Venho, por meio desta, solicitar formalmente a limpeza dos fundos do bloco 87. Ressalto que já havia encaminhado vídeo no dia 28/08 e, novamente, no dia 02/09, ambos informados pelo WhatsApp da secretaria do condomínio, no número +55 22 99227-5387.

Sugestão: a mesma pessoa responsável pela limpeza da frente também deverá se encarregar da limpeza dos fundos.

Acabou de acontecer enquanto eu escrevia. Vide o último vídeo, no qual o funcionário observa a placa de vidro e nada faz.

Agradeço desde já pela atenção e aguardo providências.
Criado no dia: 02/09/2025, 9:50 am",Moacyr,,,,Moacyr,
40,2025-09-03 14:20:08.074524-03,42,c72930b5-847a-4d83-95c3-f4bb81a9c9c6,f8aa9075-312e-4129-95a4-949f8da04be6,8302,94,16,101,Condomínio Residencial Recanto das Palmeiras,Reclamação,15,true,"Boa tarde! Mais uma vez solicitei a limpeza novamente, ontem foi feita, mas o encarregado irá verificar novamente. Att, Francielle Baptista.",,Moacyr,"Administração ",,,,"Administração "
41,2025-09-03 14:20:13.875794-03,42,c72930b5-847a-4d83-95c3-f4bb81a9c9c6,f8aa9075-312e-4129-95a4-949f8da04be6,8302,94,16,101,Condomínio Residencial Recanto das Palmeiras,Reclamação,14,true,"Boa tarde! Mais uma vez solicitei a limpeza novamente, ontem foi feita, mas o encarregado irá verificar novamente. Att, Francielle Baptista.",,Moacyr,"Administração ",,,,"Administração "
