id,created_at,condominio_id,turno_material_cond_id,material_port,obs_material_port,material_ok,turno_obs_port_id,qtd_material_port
88,2026-03-12 06:50:25.246791-03,41,33,,"
ZETE E 102B",,147,6
87,2026-03-12 06:50:25.246791-03,41,32,,"
FALTANDO A 15",,147,34
86,2026-03-10 06:55:03.476002-03,41,33,,"
mais 1003a, 103b.",,143,6
85,2026-03-08 06:52:19.181098-03,41,33,,"
MAIS 1003A, 102B.",,138,6
84,2026-03-06 07:02:19.22493-03,41,33,,"
mais 102b, 1003a",,134,6
83,2026-03-04 06:53:49.557643-03,41,33,,"
MAIS 1003A, 102B",,130,6
82,2026-03-02 06:56:12.026487-03,41,33,,"
102B, 1003A, ZETE",,126,7
81,2026-02-28 07:13:24.874265-03,41,33,,"
mais 102b, zete, 1003a",,122,7
80,2026-02-26 06:49:30.389727-03,41,33,,"
+102B",,118,1
79,2026-02-24 06:49:16.855658-03,41,33,,"
102b , 1003a",,114,2
78,2026-02-24 06:49:16.855658-03,41,32,,"
mais 102b, 1003a",,114,2
